epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2617.67,0.28095,0.38074,0.21777,0.79723,0.98769,0.97538,0.99144,0.96909,0.98607,0.97381,0.99067,0.93334,0.22847,0.43583,0.19246,0.78516,0.00064855,0.00064855,0.00064855
73,2653.49,0.28778,0.38244,0.22248,0.79973,0.99356,0.96927,0.99261,0.96949,0.99403,0.96897,0.99177,0.93613,0.2279,0.40806,0.19136,0.78556,0.0006436,0.0006436,0.0006436
74,2689.3,0.28364,0.37976,0.21946,0.79792,0.98806,0.97618,0.99128,0.97077,0.98719,0.97479,0.99009,0.93481,0.22989,0.46322,0.19169,0.78437,0.00063865,0.00063865,0.00063865
75,2725.23,0.28279,0.37763,0.21799,0.79507,0.98667,0.97766,0.99153,0.96733,0.98558,0.97676,0.99028,0.93233,0.22686,0.43112,0.19168,0.78299,0.0006337,0.0006337,0.0006337
76,2761.09,0.28023,0.37476,0.21571,0.79784,0.98985,0.9761,0.99217,0.97179,0.98859,0.97444,0.99102,0.94082,0.22087,0.42998,0.18741,0.78165,0.00062875,0.00062875,0.00062875
77,2797.15,0.27911,0.3736,0.21529,0.79605,0.98139,0.9812,0.99214,0.96951,0.97941,0.97971,0.99061,0.93249,0.2271,0.4541,0.18662,0.78373,0.0006238,0.0006238,0.0006238
78,2833.03,0.28143,0.37508,0.2168,0.79671,0.98863,0.97547,0.9917,0.97184,0.98811,0.97438,0.99088,0.93774,0.22033,0.41515,0.1869,0.78145,0.00061885,0.00061885,0.00061885
79,2869.24,0.28424,0.37883,0.21922,0.79682,0.98964,0.96997,0.99125,0.96912,0.989,0.96946,0.99036,0.9303,0.22725,0.43626,0.19383,0.78354,0.0006139,0.0006139,0.0006139
80,2905.25,0.28058,0.36743,0.21639,0.79503,0.99152,0.97376,0.99239,0.96961,0.99074,0.97275,0.99139,0.93763,0.22363,0.42014,0.18899,0.78573,0.00060895,0.00060895,0.00060895
81,2941.27,0.28145,0.38014,0.21412,0.79639,0.98267,0.97825,0.99149,0.96951,0.98532,0.97747,0.9916,0.93787,0.22539,0.42099,0.18861,0.7882,0.000604,0.000604,0.000604
82,2977.22,0.2785,0.37214,0.21401,0.79761,0.98455,0.98308,0.99249,0.9719,0.98931,0.97332,0.99093,0.93521,0.22127,0.43438,0.18542,0.78605,0.00059905,0.00059905,0.00059905
83,3013.15,0.27979,0.36636,0.21425,0.79675,0.99165,0.97776,0.99249,0.97085,0.98969,0.97671,0.99093,0.94096,0.22184,0.43476,0.18305,0.78455,0.0005941,0.0005941,0.0005941
84,3049.19,0.27554,0.3706,0.20991,0.79517,0.99044,0.97881,0.99236,0.97179,0.98868,0.97719,0.9901,0.93574,0.22135,0.43543,0.18246,0.78334,0.00058915,0.00058915,0.00058915
85,3085.19,0.27791,0.37468,0.21256,0.79771,0.99372,0.97395,0.99213,0.97139,0.99317,0.97354,0.99096,0.94195,0.22361,0.44015,0.18389,0.78425,0.0005842,0.0005842,0.0005842
